fold,true_label,predicted_label,model_confidence,accuracy_this_fold
1,1,0,0.17239502564372158,0.5666666666666667
1,1,0,0.30962943071882604,0.5666666666666667
1,1,0,0.278289084689086,0.5666666666666667
1,0,0,0.28758513353120724,0.5666666666666667
1,0,0,0.13256284391929896,0.5666666666666667
1,0,1,0.5972531709815077,0.5666666666666667
1,0,0,0.08723216626707235,0.5666666666666667
1,0,0,0.20005126476212168,0.5666666666666667
1,0,0,0.4873965654434512,0.5666666666666667
1,0,0,0.21390873055486703,0.5666666666666667
1,0,0,0.13082060469268508,0.5666666666666667
1,0,1,0.5222335053337274,0.5666666666666667
1,1,0,0.45924970998092207,0.5666666666666667
1,0,0,0.43532134083790514,0.5666666666666667
1,0,0,0.4997535331032495,0.5666666666666667
1,1,0,0.23832188704095156,0.5666666666666667
1,0,0,0.23029165279324615,0.5666666666666667
1,0,0,0.1965488665701191,0.5666666666666667
1,0,0,0.33691278198356195,0.5666666666666667
1,0,0,0.25629263592318824,0.5666666666666667
1,0,0,0.19961321841474583,0.5666666666666667
1,0,0,0.31592590136273646,0.5666666666666667
1,1,0,0.36232914753129936,0.5666666666666667
1,1,0,0.22803953893331488,0.5666666666666667
1,0,1,0.5826491485439824,0.5666666666666667
1,1,0,0.3300057067469018,0.5666666666666667
1,0,0,0.09764479232625001,0.5666666666666667
1,0,0,0.16053748834263867,0.5666666666666667
1,0,1,0.506714110960813,0.5666666666666667
1,1,0,0.13305537829916228,0.5666666666666667
2,0,0,0.1910287509412214,0.7
2,1,0,0.3312501876709795,0.7
2,0,0,0.233556249350009,0.7
2,0,0,0.22798474133781838,0.7
2,1,0,0.47737188523983265,0.7
2,1,0,0.2550310303743698,0.7
2,0,0,0.32063244361770143,0.7
2,1,0,0.362732699734032,0.7
2,0,0,0.23884616990370738,0.7
2,1,0,0.22856885698862692,0.7
2,0,0,0.07094469207643293,0.7
2,1,0,0.24071045101954916,0.7
2,0,0,0.162965304246896,0.7
2,0,0,0.31993463839820996,0.7
2,0,0,0.25551972525731487,0.7
2,0,0,0.1720888148152276,0.7
2,0,0,0.2677670968270617,0.7
2,0,0,0.28691588148104374,0.7
2,1,0,0.22401713404636384,0.7
2,0,0,0.24617611532607625,0.7
2,0,0,0.2540805358489063,0.7
2,0,0,0.30415791060925074,0.7
2,1,0,0.3134942104474757,0.7
2,0,0,0.35331355885903426,0.7
2,0,0,0.47043885697419446,0.7
2,0,0,0.3436189962832024,0.7
2,0,0,0.4873569856597972,0.7
2,0,0,0.2543050742963836,0.7
2,0,0,0.2956191530381201,0.7
2,1,0,0.284875265514023,0.7
3,0,0,0.3111663293026412,0.7
3,0,0,0.34282167563225396,0.7
3,1,1,0.5425383874297041,0.7
3,0,0,0.3982092771490359,0.7
3,1,0,0.22131913997049416,0.7
3,1,1,0.8497907361184233,0.7
3,0,0,0.1911697258175848,0.7
3,1,0,0.4281029898704571,0.7
3,0,0,0.21149654235166565,0.7
3,1,0,0.1867376051253244,0.7
3,0,0,0.2557852265028424,0.7
3,0,0,0.13385012920960315,0.7
