participant_name,session_start,trial_number,trial_timestamp,trial_time_elapsed,target_side,alpha_o1,alpha_o2,alpha_p3,alpha_p4,attention_direction,reaction_time,confidence,ball_position_x,ball_target_x,trial_duration,notes,asymmetry,is_correct
aadrikahaha,2025-07-18 20:55:24,1,2025-07-18 20:56:14.483,50.039,right,30.265673,25.355928,8.650771,11.628438,center,0.5,0.177002,,,5,,0.177001617150445,1
aadrikahaha,2025-07-18 20:55:24,2,2025-07-18 20:56:19.489,55.045,right,13.904262,14.653808,4.404745,5.587669,center,0.5,0.052505,,,5,,-0.0525048215835148,0
aadrikahaha,2025-07-18 20:55:24,3,2025-07-18 20:56:24.502,60.058,right,14.586294,9.295774,7.448625,2.717213,center,0.5,0.450523,,,5,,-0.450522432390996,0
aadrikahaha,2025-07-18 20:55:24,4,2025-07-18 20:56:29.521,65.077,left,23.718611,25.491538,19.041407,9.660419,center,0.5,0.072087,,,5,,-0.0720865397188319,1
aadrikahaha,2025-07-18 20:55:24,5,2025-07-18 20:56:34.525,70.081,right,10.149991,8.270485,5.926597,5.395109,center,0.5,0.20478,,,5,,-0.204779665764512,0
aadrikahaha,2025-07-18 20:55:24,6,2025-07-18 20:56:39.540,75.096,right,25.736947,31.21043,20.925606,2.776091,center,0.5,0.192825,,,5,,-0.192824747858403,0
aadrikahaha,2025-07-18 20:55:24,7,2025-07-18 20:56:44.549,80.105,left,10.144931,17.688826,19.642051,2.364427,left,0.5,0.555959,,,5,,-0.555958968916703,1
aadrikahaha,2025-07-18 20:55:24,8,2025-07-18 20:56:49.565,85.121,left,11.028383,19.697433,10.741675,2.765405,left,0.5,0.580016,,,5,,-0.580016100347807,1
aadrikahaha,2025-07-18 20:55:24,9,2025-07-18 20:56:54.583,90.139,right,10.789312,15.869716,11.521252,7.855691,center,0.5,0.385857,,,5,,-0.385856624484235,0
aadrikahaha,2025-07-18 20:55:24,10,2025-07-18 20:56:59.589,95.145,left,9.579686,7.866675,5.535455,6.353758,center,0.5,0.197009,,,5,,0.197009332142723,0
aadrikahaha,2025-07-18 20:55:24,11,2025-07-18 20:57:04.605,100.161,right,20.039192,18.808887,8.529554,10.628108,center,0.5,0.06336,,,5,,-0.0633604851341598,0
aadrikahaha,2025-07-18 20:55:24,12,2025-07-18 20:57:09.626,105.182,left,16.870056,11.799564,4.626361,6.441995,center,0.5,0.357478,,,5,,0.357477634418002,0
aadrikahaha,2025-07-18 20:55:24,13,2025-07-18 20:57:14.642,110.198,right,35.587194,25.117352,11.443385,20.387026,center,0.5,0.348427,,,5,,0.348426932011614,1
aadrikahaha,2025-07-18 20:55:24,14,2025-07-18 20:57:19.649,115.205,right,16.560388,12.963961,10.769216,2.17103,center,0.5,0.24484,,,5,,-0.244840301690314,0
