participant_name,session_start,trial_number,trial_timestamp,trial_time_elapsed,target_side,alpha_o1,alpha_o2,alpha_p3,alpha_p4,attention_direction,reaction_time,confidence,ball_position_x,ball_target_x,trial_duration,notes,asymmetry,is_correct
test06,2025-07-18 19:12:16,1,2025-07-18 19:13:06.947,50.067,right,18.703256,15.514687,24.483286,14.631459,center,0.5,0.18691,,,5,,0.186910502679173,1
test06,2025-07-18 19:12:16,2,2025-07-18 19:13:11.961,55.081,right,12.922831,7.680048,2.351969,15.425533,right,0.5,0.52037,,,5,,0.520369794858699,1
test06,2025-07-18 19:12:16,3,2025-07-18 19:13:16.971,60.091,left,12.696357,18.026645,2.242627,3.589945,center,0.5,0.350536,,,5,,0.350535839221398,0
test06,2025-07-18 19:12:16,4,2025-07-18 19:13:21.979,65.099,right,22.274358,13.313363,1.39761,10.289901,right,0.5,0.514668,,,5,,0.514667883733112,1
test06,2025-07-18 19:12:16,5,2025-07-18 19:13:26.993,70.113,left,10.988439,11.499098,2.439473,3.067699,center,0.5,0.045425,,,5,,-0.0454248773998404,1
test06,2025-07-18 19:12:16,6,2025-07-18 19:13:32.003,75.123,left,11.671875,14.603442,3.566942,12.300501,center,0.5,0.224075,,,5,,0.224075152580331,0
test06,2025-07-18 19:12:16,7,2025-07-18 19:13:37.024,80.144,right,19.356385,17.45058,10.757449,16.737521,center,0.5,0.103649,,,5,,0.103649453288076,1
test06,2025-07-18 19:12:16,8,2025-07-18 19:13:42.032,85.152,left,14.421298,14.54815,6.172856,2.555622,center,0.5,0.008758,,,5,,-0.0087576960917927,1
test06,2025-07-18 19:12:16,9,2025-07-18 19:13:47.047,90.167,left,18.355796,19.770707,2.304916,1.341597,center,0.5,0.074256,,,5,,-0.0742560148590616,1
test06,2025-07-18 19:12:16,10,2025-07-18 19:13:52.054,95.174,left,9.378368,10.285163,1.448289,2.262918,center,0.5,0.092475,,,5,,0.0922966106283573,0
test06,2025-07-18 19:12:16,11,2025-07-18 19:13:57.073,100.193,right,20.66176,31.566188,8.747974,6.489362,left,0.5,0.416277,,,5,,-0.423801898900484,0
test06,2025-07-18 19:12:16,12,2025-07-18 19:14:02.086,105.206,left,8.58447,11.728829,3.906503,7.484988,center,0.5,0.312095,,,5,,-0.312095071326676,1
